[11/12/2015 11:52:42 AM]Program Started.
[12/7/2015 1:01:21 PM]Program Started.
[12/7/2015 1:11:31 PM]Program Started.
[12/7/2015 1:13:23 PM]Program Started.
[12/7/2015 1:14:19 PM]Program Started.
[12/7/2015 1:15:24 PM]Program Started.
[12/7/2015 1:16:31 PM]Program Started.
[12/7/2015 1:16:36 PM]Program Started.
[12/7/2015 1:17:17 PM]Program Started.
[12/7/2015 1:17:55 PM]Program Started.
[12/7/2015 1:18:21 PM]Program Started.
[12/7/2015 1:36:52 PM]Program Started.
[12/7/2015 1:37:04 PM]Program Started.
[12/7/2015 1:38:01 PM]Program Started.
[12/7/2015 2:00:56 PM]Program Started.
[12/7/2015 2:00:59 PM]Program Started.
